movie_id,user_id,rating
116367,1,3.0
114287,1,5.0
109370,1,5.0
112851,1,5.0
112508,1,5.0
114694,1,5.0
106677,1,4.0
108333,1,4.0
108358,1,5.0
32910,1,5.0
117705,1,3.0
117628,1,4.0
33467,1,5.0
39420,1,4.0
31679,1,5.0
72951,1,3.0
63819,1,5.0
57546,1,5.0
33563,1,5.0
76538,1,3.0
66817,1,5.0
43274,1,5.0
117887,1,4.0
116409,1,5.0
117802,1,4.0
91763,1,4.0
103772,1,5.0
96754,1,4.0
97499,1,5.0
45061,1,5.0
23969,1,5.0
91203,1,5.0
84503,1,5.0
13442,1,4.0
103776,1,3.0
104691,1,3.0
119229,1,4.0
118880,1,4.0
82198,1,5.0
119345,1,3.0
120888,1,4.0
120890,1,4.0
122718,1,4.0
75148,1,5.0
91369,1,4.0
34492,1,5.0
88814,1,5.0
91059,1,4.0
91149,1,5.0
120768,1,5.0
61852,1,5.0
76618,1,5.0
89908,1,3.0
102803,1,5.0
53285,1,4.0
38969,1,4.0
84827,1,4.0
77869,1,5.0
84649,1,5.0
90633,1,5.0
89469,1,4.0
88323,1,5.0
96446,1,4.0
105629,1,2.0
104257,1,4.0
120812,1,4.0
130018,1,2.0
120660,1,5.0
24216,1,4.0
124198,1,5.0
155975,1,2.0
128445,1,5.0
88011,1,4.0
90357,1,3.0
120863,1,5.0
91225,1,4.0
72271,1,5.0
74812,1,3.0
63442,1,5.0
120735,1,5.0
139239,1,5.0
99422,1,4.0
78346,1,4.0
81573,1,5.0
21814,1,4.0
21884,1,4.0
34398,1,5.0
73629,1,3.0
129167,1,5.0
120657,1,4.0
82348,1,5.0
61578,1,5.0
58150,1,5.0
57076,1,5.0
55928,1,5.0
70328,1,5.0
59800,1,5.0
94012,1,5.0
70608,1,5.0
64276,1,4.0
134119,1,1.0
105417,1,3.0
134084,1,5.0
102138,1,5.0
103060,1,4.0
108308,1,4.0
87985,1,5.0
93105,1,5.0
107050,1,5.0
89457,1,4.0
102057,1,4.0
93773,1,4.0
71807,1,4.0
71230,1,5.0
79501,1,5.0
82694,1,5.0
67741,1,5.0
90728,1,4.0
92106,1,4.0
66026,1,5.0
111161,2,3.0
114694,2,4.0
119217,2,4.5
172495,2,4.0
266697,2,4.0
369339,2,3.5
415306,2,4.0
