movie_id,user_id,rating
92513,381,3.5
1655460,298,1.5
116365,492,4.0
97165,265,3.0
333766,200,4.0
117802,357,4.0
120794,467,2.0
78788,369,3.0
257360,561,3.5
114781,562,3.0
1860213,111,4.0
167260,61,4.5
1798709,496,4.5
167261,9,5.0
66921,503,4.0
80487,267,5.0
99348,569,4.0
106977,340,5.0
443453,256,0.5
360139,594,5.0
1302011,10,3.5
112384,297,3.0
33563,103,4.0
119303,600,3.0
268126,570,4.0
118883,266,2.0
143145,579,4.0
139654,190,3.5
80684,557,3.0
234215,309,2.5
94739,600,1.0
108160,330,2.0
120655,115,3.0
115751,156,5.0
38559,137,4.0
1343092,292,2.0
355702,68,1.5
3896198,515,5.0
33467,128,4.0
99939,244,5.0
34492,161,3.5
114168,181,3.0
115907,314,3.0
80716,391,3.0
122151,325,1.0
1345836,362,4.0
102926,178,4.5
106673,395,3.0
33870,587,3.0
97647,561,2.5
232500,542,0.5
190332,137,3.0
75314,419,4.0
3606756,98,4.0
204946,367,4.0
110912,458,4.0
91763,465,4.0
99348,254,4.0
177789,520,4.0
107943,117,4.0
1392170,256,4.0
56218,357,4.0
305224,66,4.5
319061,473,4.0
169547,301,4.0
109444,458,5.0
118883,586,4.0
2557478,514,3.0
102034,594,4.0
810913,103,4.0
117509,45,5.0
103064,424,2.0
113481,284,3.0
93870,265,4.0
111503,134,2.0
88011,412,3.0
87843,372,3.0
800080,573,4.0
137523,10,0.5
93428,452,3.0
112346,33,2.0
120382,359,3.0
477080,332,3.5
41650,265,3.0
1331064,477,4.5
93756,294,1.0
295297,308,5.0
104714,256,4.5
183790,287,0.5
133093,537,4.0
335266,41,3.5
111667,6,4.0
70355,202,3.0
1446714,561,2.0
120737,9,5.0
82010,345,3.5
120338,355,4.0
107290,531,4.0
116483,604,3.0
1853728,2,3.5
111257,361,3.0
120586,417,5.0
114194,607,5.0
1136608,211,2.5
102005,66,4.0
159097,287,4.0
1371111,65,4.0
120363,607,3.0
108333,58,3.0
121766,593,3.0
93058,528,4.0
1270761,351,2.5
241303,100,3.0
377092,428,3.0
167260,211,4.0
104815,493,4.0
122151,428,2.0
75148,39,2.0
120737,137,5.0
112384,572,4.0
84805,255,1.0
121766,464,5.0
106673,602,4.0
109830,94,3.0
118789,4,1.0
112573,336,4.0
102926,404,4.0
137523,319,4.0
112431,273,4.0
829482,73,1.5
107048,141,3.5
121765,287,1.0
1057500,177,4.0
3778644,62,4.0
415978,356,3.0
88128,356,3.5
110475,181,3.0
114069,376,4.5
117218,71,4.0
2278388,326,3.0
4481414,491,4.0
110932,195,4.0
1441912,153,3.5
100802,493,3.0
117665,425,4.5
88128,367,4.0
82418,607,4.0
82971,557,3.5
405159,488,4.0
117509,103,4.0
230600,15,5.0
808506,522,5.0
114369,351,4.5
120903,259,3.5
92067,24,4.5
1001526,401,4.5
77402,63,2.0
87799,51,5.0
63462,135,5.0
1617661,292,1.5
88847,503,2.5
112740,609,3.0
95889,368,1.0
120630,233,3.0
372784,376,4.0
82085,156,4.0
116250,372,2.0
113189,347,4.0
486576,475,3.5
110912,285,4.0
208092,131,3.5
116282,451,5.0
910936,212,2.5
383010,503,1.0
319343,282,3.0
100802,79,4.0
5463162,248,4.5
108333,452,5.0
87803,325,4.0
286516,606,4.5
84855,572,5.0
230600,187,4.5
1588173,562,4.0
3064298,24,4.0
167261,504,4.0
120815,65,4.0
1951266,567,1.5
903624,139,4.0
92099,524,3.0
390521,328,3.0
75314,113,4.0
114069,129,3.5
167260,513,3.5
458339,596,4.0
95016,211,4.5
109446,446,3.0
